RName,FName,FWidth,RAddr,RWidth,Offset,FAccess,FReadSideEffect,FDefault,FDefaultType,FVisibility,RArray
SWPROFILING,SWPROF14,1,64,32,14,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF15,1,64,32,15,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF16,1,64,32,16,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF17,1,64,32,17,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF18,1,64,32,18,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF19,1,64,32,19,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF20,1,64,32,20,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF21,1,64,32,21,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF22,1,64,32,22,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF23,1,64,32,23,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF24,1,64,32,24,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF25,1,64,32,25,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF26,1,64,32,26,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF27,1,64,32,27,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF28,1,64,32,28,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF29,1,64,32,29,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF30,1,64,32,30,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF31,1,64,32,31,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL0,SPIGO,1,70,32,0,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RADIOCNTL0,SPICOMP,1,70,32,1,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL0,SPIFREQ,2,70,32,4,R/W,None,2'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL0,SPICFG,1,70,32,7,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL0,SPIPTR,14,70,32,16,R/W,None,14'h0000,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,SUBVERSION,4,74,32,0,R/W,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,XRFSEL,6,74,32,4,R/W,None,6'h00,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,JEF_SELECT,1,74,32,12,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,DPCORR_EN,1,74,32,13,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,SYNC_PULSE_SRC,1,74,32,14,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,SYNC_PULSE_MODE,1,74,32,15,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,FORCEAGC_LENGTH,12,74,32,16,R/W,None,12'h000,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,TXDNSL,1,74,32,28,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,RXDNSL,1,74,32,29,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,FORCEIQ,1,74,32,30,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RADIOCNTL1,FORCEAGC_EN,1,74,32,31,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
AESCNTL,AES_START,1,B0,32,0,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
AESCNTL,AES_MODE,1,B0,32,1,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
AESKEY31_0,AESKEY31_0,32,B4,32,0,R/W,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
AESKEY63_32,AESKEY63_32,32,B8,32,0,R/W,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
AESKEY95_64,AESKEY95_64,32,BC,32,0,R/W,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
AESKEY127_96,AESKEY127_96,32,C0,32,0,R/W,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
AESPTR,AESPTR,14,C4,32,0,R/W,None,14'h0000,Unknown,Public,"False;n;0;2;1;4"
TXMICVAL,TXMICVAL,32,C8,32,0,R,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
RXMICVAL,RXMICVAL,32,CC,32,0,R,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
TIMGENCNTL,PREFETCH_TIME,9,E0,32,0,R/W,None,9'h0BD,Unknown,Public,"False;n;0;2;1;4"
TIMGENCNTL,PREFETCHABORT_TIME,10,E0,32,16,R/W,None,10'h1DF,Unknown,Public,"False;n;0;2;1;4"
FINETIMTGT,FINETARGET,28,E4,32,0,R/W,None,28'h0000000,Unknown,Public,"False;n;0;2;1;4"
CLKNTGT1,CLKNTGT1,28,E8,32,0,R/W,None,28'h0000000,Unknown,Public,"False;n;0;2;1;4"
HMICROSECTGT1,HMICROSECTGT1,10,EC,32,0,R/W,None,10'h000,Unknown,Public,"False;n;0;2;1;4"
CLKNTGT2,CLKNTGT2,28,F0,32,0,R/W,None,28'h0000000,Unknown,Public,"False;n;0;2;1;4"
HMICROSECTGT2,HMICROSECTGT2,10,F4,32,0,R/W,None,10'h000,Unknown,Public,"False;n;0;2;1;4"
CLKNTGT3,CLKNTGT3,28,F8,32,0,R/W,None,28'h0000000,Unknown,Public,"False;n;0;2;1;4"
HMICROSECTGT3,HMICROSECTGT3,10,FC,32,0,R/W,None,10'h000,Unknown,Public,"False;n;0;2;1;4"
SLOTCLK,SCLK,28,100,32,0,R/W,None,28'h0000000,Unknown,Public,"False;n;0;2;1;4"
SLOTCLK,CLKN_UPD,1,100,32,30,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
SLOTCLK,SAMP,1,100,32,31,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
FINETIMECNT,FINECNT,10,104,32,0,R,None,10'h000,Unknown,Public,"False;n;0;2;1;4"
ACTSCHCNTL,ENTRY_IDX,4,110,32,0,R/W,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
ACTSCHCNTL,START_ACT,1,110,32,31,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,LETXPRIMANTID,7,194,32,0,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,LETXPRIMIDCNTLEN,1,194,32,7,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,LERXPRIMANTID,7,194,32,8,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,LERXPRIMIDCNTLEN,1,194,32,15,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,BTTXPRIMANTID,7,194,32,16,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,BTTXPRIMIDCNTLEN,1,194,32,23,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,BTRXPRIMANTID,7,194,32,24,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DFANCNTL,BTRXPRIMIDCNTLEN,1,194,32,31,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
